Top Level Genre,Sub Genre,URL,Title,Author
Action,Disaster Action,https://www.skool.com/story-hacker/disaster-action-genre-guide,Disaster Action Genre Guide,Dom Ioanna
Action,Martial Arts Action,https://www.skool.com/story-hacker/martial-arts-action-genre-guide,Martial Arts Action Genre Guide,Dom Ioanna
Action,Superhero Action,https://www.skool.com/story-hacker/superhero-action-genre-guides,Superhero Action Genre Guides,Mitch White
Adventure,Adventure,https://www.skool.com/story-hacker/adventure-genre-guides,Adventure Genre Guides,Mitch White
Adventure,Lost World Adventure,https://www.skool.com/story-hacker/lost-world-adventure-genre-guide,Lost World Adventure Genre Guide,Dom Ioanna
Adventure,Jungle Adventure,https://www.skool.com/story-hacker/jungle-adventure-genre-guide,Jungle Adventure Genre Guide,Dom Ioanna
Comedy,Action Comedy,https://www.skool.com/story-hacker/action-comedy-genre-guides,Action Comedy Genre Guides,Mitch White
Comedy,Comedy,https://www.skool.com/story-hacker/comedy-genre-guides,Comedy Genre Guides,Mitch White
Comedy,Dark Comedy,https://www.skool.com/story-hacker/dark-comedy-genre-guides,Dark Comedy Genre Guides,Mitch White
Comedy,Romantic Comedy,https://www.skool.com/story-hacker/romantic-comedy-genre-guides,Romantic Comedy Genre Guides,Mitch White
Comedy,Screwball Comedy,https://www.skool.com/story-hacker/screwball-comedy-genre-guides,Screwball Comedy Genre Guides,Mitch White
Coming-of-Age,Apocalyptic (Dystopian) Coming of Age,https://www.skool.com/story-hacker/apocalyptic-dystopian-coming-of-age-genre-guide,Apocalyptic (Dystopian) Coming of Age Genre Guide,Dom Ioanna
Coming-of-Age,Coming-of-Age (Bildungsroman),https://www.skool.com/story-hacker/coming-of-age-bildungsroman-genre-guides,Coming-of-Age (Bildungsroman) Genre Guides,Mitch White
Coming-of-Age,Historical Coming of Age,https://www.skool.com/story-hacker/historical-coming-of-age-genre-guide,Historical Coming of Age Genre Guide,Dom Ioanna
Crime,Crime Fiction,https://www.skool.com/story-hacker/crime-fiction-genre-guides,Crime Fiction Genre Guides,Mitch White
Crime,Police Procedural,https://www.skool.com/story-hacker/police-procedural-genre-guides,Police Procedural Genre Guides,Mitch White
Dystopian,Cozy Dystopia,https://www.skool.com/story-hacker/cozy-dystopia-genre-guides,Cozy Dystopia Genre Guides,Mitch White
Dystopian,Dystopian Fiction,https://www.skool.com/story-hacker/dystopian-fiction-genre-guides,Dystopian Fiction Genre Guides,Mitch White
Fantasy,Adventure Fantasy,https://www.skool.com/story-hacker/adventure-fantasy-genre-guide,Adventure Fantasy Genre Guide,Dom Ioanna
Fantasy,Cozy Fantasy,https://www.skool.com/story-hacker/cozy-fantasy-genre-guides,Cozy Fantasy Genre Guides,Mitch White
Fantasy,Cyberfantasy,https://www.skool.com/story-hacker/cyberfantasy-genre-guides,Cyberfantasy Genre Guides,Mitch White
Fantasy,Dark Fairytale Fantasy,https://www.skool.com/story-hacker/dark-fairytale-fantasy-genre-guide,Dark Fairytale Fantasy Genre Guide,Dom Ioanna
Fantasy,Dark Fantasy,https://www.skool.com/story-hacker/dark-fantasy-genre-guides,Dark Fantasy Genre Guides,Mitch White
Fantasy,Dark Gothic Fantasy,https://www.skool.com/story-hacker/dark-gothic-fantasy-genre-guides,Dark Gothic Fantasy Genre Guides,Mitch White
Fantasy,Fairy Tale,https://www.skool.com/story-hacker/fairy-tale-genre-guides,Fairy Tale Genre Guides,Mitch White
Fantasy,Fantasy,https://www.skool.com/story-hacker/fantasy-genre-guides,Fantasy Genre Guides,Mitch White
Fantasy,Flintlock Fantasy,https://www.skool.com/story-hacker/flintlock-fantasy-genre-guides,Flintlock Fantasy Genre Guides,Mitch White
